Time,Latitude,Longitude,PM10,PM25,Humidity,Temperature
00.00. 00:00:00.00,69.647964,18.986906,24,2,99.9,0.8
00.00. 00:00:00.00,69.647956,18.98693,23.9,2,99.9,0.8
00.00. 00:00:00.00,69.647979,18.986858,23.7,2,99.9,0.8
00.00. 00:00:00.00,69.647994,18.986839,23.6,2,99.9,0.8
00.00. 00:00:00.00,69.647926,18.986993,23.6,1.9,99.9,0.8
00.00. 00:00:00.00,69.647933,18.986968,23.5,1.9,99.9,0.8
00.00. 00:00:00.00,69.647949,18.985975,12.8,1.3,99.9,0.8
00.00. 00:00:00.00,69.647438,18.987596,2.7,0.6,99.9,0.8
00.00. 00:00:00.00,69.647438,18.987569,2.5,0.6,99.9,0.8
00.00. 00:00:00.00,69.647438,18.987535,2.2,0.6,99.9,0.8
