New AIR:BIT Logging started
Time,Lat,Lon,Temp,Humi,PM10,PM25
Time,Lat,Lon,Temp,Humi,PM10,PM25
5.4.2018 11:19:22.0,69.648071,18.997659,10.70,24.80,0.90,0.80
5.4.2018 11:19:28.0,69.648094,18.997827,10.60,25.10,1.00,0.90
5.4.2018 11:19:34.0,69.648139,18.998003,10.70,25.30,1.00,0.90
5.4.2018 11:19:40.0,69.648139,18.998319,10.70,25.10,1.00,0.90
5.4.2018 11:19:46.0,69.648155,18.998426,10.60,25.20,0.80,0.80
5.4.2018 11:19:52.0,69.648139,18.998817,10.40,25.10,0.90,0.70
5.4.2018 11:19:58.0,69.648147,18.998844,10.40,24.90,0.90,0.80
5.4.2018 11:20:4.0,69.648185,18.998832,10.30,24.60,1.00,0.80
5.4.2018 11:20:10.0,69.648216,18.998935,10.20,24.70,1.00,0.80
5.4.2018 11:20:17.0,69.648262,18.999059,10.10,24.60,1.00,0.80
5.4.2018 11:20:24.0,69.648330,18.999252,9.90,25.10,1.00,0.80
5.4.2018 11:20:31.0,69.648384,18.999410,9.80,25.10,1.00,0.80
5.4.2018 11:20:38.0,69.648429,18.999555,9.70,25.10,1.00,0.90
5.4.2018 11:20:45.0,69.648437,18.999496,9.60,25.10,1.00,0.90
5.4.2018 11:20:52.0,69.648498,18.999839,9.40,25.30,1.10,1.00
5.4.2018 11:20:59.0,69.648506,19.000181,9.40,25.50,1.20,1.10
5.4.2018 11:21:6.0,69.648498,19.000509,9.30,25.50,1.10,1.10
5.4.2018 11:21:14.0,69.648529,19.000757,9.20,25.50,1.30,1.20
5.4.2018 11:21:22.0,69.648536,19.001035,9.20,25.90,1.30,1.20
5.4.2018 11:21:30.0,69.648559,19.001136,9.30,26.00,1.40,1.30
5.4.2018 11:21:38.0,69.648551,19.001255,9.20,26.30,1.40,1.30
5.4.2018 11:21:46.0,69.648597,19.001619,9.20,26.50,1.40,1.30
5.4.2018 11:21:54.0,69.648620,19.001930,9.30,26.80,1.40,1.30
5.4.2018 11:22:3.0,69.648651,19.002332,9.20,26.80,1.30,1.20
5.4.2018 11:22:11.0,69.648658,19.002645,9.20,27.30,1.30,1.20
5.4.2018 11:22:19.0,69.648681,19.002916,9.20,27.50,1.20,1.10
5.4.2018 11:22:27.0,69.648704,19.003234,9.00,27.40,1.10,1.00
5.4.2018 11:22:35.0,69.648727,19.003543,9.10,27.60,1.20,1.10
5.4.2018 11:22:38.0,69.648735,19.003667,9.00,27.80,1.10,1.00
5.4.2018 11:22:41.0,69.648742,19.003765,9.00,27.60,1.00,0.90
5.4.2018 11:22:44.0,69.648765,19.003833,9.00,27.60,1.10,1.00
